date,open,high,low,close,volume
2016-09-13,14.164005279541016,14.164005279541016,14.164005279541016,14.164005279541016,300
2016-09-14,14.164005279541016,14.164005279541016,14.164005279541016,14.164005279541016,0
2016-09-15,14.164005279541016,14.164005279541016,14.164005279541016,14.164005279541016,0
2016-09-16,14.125621960109564,14.125621960109564,14.106429100036621,14.106429100036621,1500
2016-09-19,14.22158320236067,14.250372491837243,14.217744996496826,14.240776062011719,700
2016-09-20,14.365525245666504,14.365525245666504,14.365525245666504,14.365525245666504,300
2016-09-21,14.365525245666504,14.365525245666504,14.365525245666504,14.365525245666504,0
2016-09-22,14.758972703759332,14.768569134448548,14.672606657888393,14.701395034790039,4000
2016-09-23,14.71098956527485,14.71098956527485,14.62462353055973,14.653412818908691,9500
2016-09-26,14.538257124854685,14.538257124854685,14.424062728881836,14.424062728881836,2900
2016-09-27,14.55744993054146,16.006477789242936,14.506589588073064,14.595834732055664,3600
2016-09-28,14.672605350475804,14.691798210144043,14.595835742134689,14.691798210144043,3000
2016-09-29,14.691798181849283,14.691798181849283,14.634220518121374,14.643816947937012,3900
2016-09-30,14.663008920641685,14.691798210144043,14.58623931230057,14.691798210144043,4100
2016-10-03,14.73977846960446,14.73977846960446,14.576642823745294,14.640937805175781,3600
2016-10-04,14.768566429158126,14.768566429158126,14.6342191696167,14.6342191696167,10900
2016-10-05,14.758972562017693,14.787760938642862,14.758972562017693,14.768568992614746,1500
2016-10-06,14.778162568753803,14.778162568753803,14.686999235542848,14.720585823059082,3800
2016-10-07,14.730182647705078,14.739778162134462,14.682201414894575,14.730182647705078,8800
2016-10-10,14.816547285155316,14.8261437144375,14.793517136110289,14.799274444580078,11000
2016-10-11,14.835741561698901,14.835741561698901,14.682202339172363,14.682202339172363,6200
2016-10-12,14.691798346616231,14.691798346616231,14.574723914917495,14.624624252319336,5500
2016-10-13,14.471082327591207,14.509467124938965,14.39431273289569,14.509467124938965,6400
2016-10-14,14.557448350415102,14.56704477854348,14.509467124938965,14.509467124938965,3200
2016-10-17,14.567049586813532,14.595837965535337,14.538260292925669,14.557453155517578,10700
2016-10-18,14.749373206397612,14.749373206397612,14.663967187419516,14.672603607177734,3500
2016-10-19,14.739778500595634,14.739778500595634,14.634220518121374,14.643816947937012,6300
2016-10-20,14.64381753354073,14.682202339172363,14.634221103341332,14.682202339172363,8900
2016-10-21,14.66588859086658,14.682202339172363,14.66588859086658,14.682202339172363,500
2016-10-24,14.816548701300107,14.816548701300107,14.663009478773569,14.682202339172363,12500
2016-10-25,14.634222775553097,14.634222775553097,14.538260292925669,14.557453155517578,15100
2016-10-26,14.544977611799625,14.567049586813532,14.519068345499818,14.557453155517578,4100
