date,open,high,low,close,volume
2014-01-02,18.540508457569583,18.56254342986142,18.41270326465205,18.505252838134766,1548400
2014-01-03,18.483219340053108,18.514068642760257,18.368636455878107,18.44796371459961,1441000
2014-01-06,18.465595240130128,18.465595240130128,18.29812636998464,18.328975677490234,1171200
2014-01-07,18.32015784681283,18.443555053242743,18.315751524223554,18.390670776367188,1500200
2014-01-08,18.483220917452158,18.61543414737864,18.46559394380154,18.588991165161133,2913400
2014-01-09,18.544922839237508,18.588992798979014,18.328976001717233,18.425931930541992,2149800
2014-01-10,18.49203444311792,18.549326728191364,18.425929512181774,18.5008487701416,798000
2014-01-13,18.46999854171085,18.593395751544378,18.280494723088854,18.315752029418945,1596600
2014-01-14,18.434743807921716,18.831378436348437,18.403892822810693,18.804935455322266,5084800
2014-01-15,18.85781845130395,19.007658624562545,18.85781845130395,18.92833137512207,2163400
2014-01-16,18.95918802411402,18.963594348053036,18.79612713978856,18.866640090942383,2281400
2014-01-17,18.650688987982445,18.752051227126145,18.575769729939225,18.637468338012695,2675000
2014-01-21,18.7167965271873,18.747645832751985,18.588991300612985,18.721202850341797,1396800
2014-01-22,18.756455884728783,18.95036600138558,18.6903492843527,18.932737350463867,1606000
2014-01-23,18.835789196082576,18.835789196082576,18.580178718917058,18.69035530090332,2355000
2014-01-24,18.544922035889414,18.62424762375558,18.302532224327607,18.33778953552246,3948400
2014-01-27,18.35101182917253,18.368640486347836,18.077774367600423,18.17473030090332,3689600
2014-01-28,18.161505080643543,18.302530953307155,18.073363489938533,18.258460998535156,4592600
2014-01-29,18.090992745702334,18.284904587931685,18.090992745702334,18.143877029418945,3849000
2014-01-30,18.218793373045198,18.355412892747733,18.183536072027522,18.293712615966797,1657200
2014-01-31,18.05573711694495,18.258461605492844,18.02488781134684,18.143877029418945,2135800
2014-02-03,18.073366548137265,18.15269382507866,17.7472447928549,17.830978393554688,4971600
2014-02-04,17.7472429417726,17.795720903865,17.637066366530277,17.76487159729004,3396200
2014-02-05,17.6723259133349,17.853015469534274,17.584185978534425,17.760467529296875,1858800
2014-02-06,17.778089087727345,18.060140801218257,17.778089087727345,18.024885177612305,2766600
2014-02-07,18.090993568627106,18.29371806639655,18.042515605864597,18.267276763916016,2483400
2014-02-10,18.249649982789414,18.386269557230168,18.249649982789414,18.368640899658203,2218400
2014-02-11,18.386264448303027,18.65509551751173,18.386264448303027,18.593395233154297,2457000
2014-02-12,18.62865633698143,18.76527590131763,18.6242483323338,18.694761276245117,2764600
2014-02-13,18.641875403938762,18.915112828223265,18.61543410294542,18.893077850341797,3227600
2014-02-14,18.937147258705153,19.064950787841912,18.840191350043398,19.034101486206055,2418000
2014-02-18,19.007659876245693,19.08698713090999,18.932738944102383,19.07376480102539,2022000
2014-02-19,19.012068763429266,19.126653338361788,18.97240513074663,19.02969741821289,2780000
2014-02-20,18.994440588921737,19.170723778893237,18.97681361485346,19.157503128051758,3122400
2014-02-21,19.192758897510423,19.24564318242364,19.025290033930613,19.051733016967773,2512400
2014-02-24,19.17953763660155,19.29852853474283,19.122245349090335,19.166316986083984,1941200
2014-02-25,19.131057899129193,19.197164507897543,18.96799706030439,19.060544967651367,4097000
2014-02-26,19.11783801763666,19.333783143452234,19.11783801763666,19.214792251586914,1398800
2014-02-27,19.21478987642622,19.236826531617314,19.07376402523915,19.223604202270508,2505600
2014-02-28,19.2324198465371,19.307340780769138,19.109022638579464,19.236827850341797,4448600
2014-03-03,19.082582623760068,19.148689241813408,18.937150417668303,19.113431930541992,3193000
2014-03-04,19.31615537842581,19.40429528182686,19.280898072136672,19.36463165283203,3212400
2014-03-05,19.426330878416636,19.465992824085554,19.35140994722236,19.386667251586914,3634000
2014-03-06,19.474812492630218,19.59821141059692,19.44396318342886,19.59380340576172,2289000
2014-03-07,19.655502024164438,19.686351333365796,19.532104787359,19.59380340576172,2186800
2014-03-10,19.52329045884986,19.64228137198136,19.474812492630218,19.59380340576172,3817800
2014-03-11,19.60702224755161,19.664312850917003,19.40429609026472,19.452774047851562,3758200
2014-03-12,19.37785606915851,19.66872215270996,19.33819243589417,19.66872215270996,1355600
2014-03-13,19.673128326086893,19.761269919465487,19.272085673317292,19.399890899658203,4712800
2014-03-14,19.280903187246853,19.430743416405626,19.23242521881882,19.241239547729492,1934600
2014-03-17,19.324968828970057,19.501252005438406,19.324968828970057,19.452774047851562,1747600
2014-03-18,19.488031832155833,19.69075631323904,19.40429656476333,19.681941986083984,1424800
2014-03-19,19.60261790679336,19.796528092217258,19.527698635548195,19.659910202026367,1958200
2014-03-20,19.607024442890463,19.99043846130371,19.54973215194926,19.99043846130371,2511800
2014-03-21,19.986032549223683,20.04773285116847,19.748052394939112,19.783308029174805,2460200
2014-03-24,19.809745322791628,19.897886904792696,19.571763555737004,19.71719741821289,4688400
2014-03-25,19.726009594896055,20.00806298683316,19.726009594896055,19.928735733032227,3284600
2014-03-26,20.096210427912848,20.14028207498773,19.717204350037477,19.726016998291016,4402400
2014-03-27,19.695164367375043,19.83178392854526,19.57176713868011,19.61583709716797,3715000
2014-03-28,19.65109205155854,19.924329459960482,19.65109205155854,19.761268615722656,1869600
2014-03-31,19.880263284873212,20.15790875005656,19.862634627778114,20.100616455078125,3114600
2014-04-01,20.100612956409847,20.400293350219727,20.100612956409847,20.400293350219727,5397000
2014-04-02,20.413512092621914,20.41792009629717,20.201973307551732,20.29892921447754,4034200
2014-04-03,20.32978310484875,20.519286957804105,20.259270160574285,20.351818084716797,3454400
2014-04-04,20.532507373103005,20.532507373103005,19.822969933856882,19.84941291809082,8198000
2014-04-07,19.80092970865887,19.98602550577805,19.624646556121874,19.73923110961914,7552200
2014-04-08,19.752453034913444,20.047727082332216,19.752453034913444,20.021284103393555,4932600
